From: @jairbolsonaro,Data publicação,Link
"MAIS QUE A VIDA DO CIDADÃO, A ARMA GARANTE A LIBERDADE DE UMA NAÇÃO. Via 
@tradutores_br",08/08/2017,https://twitter.com/jairbolsonaro/status/894915061902397440?s=20&t=4QRZwJytHCi2zw9peYIESw
"Temos buscado nomes qualificados para compor nosso time, que será bem menor, antes de qualquer resultado. Na prática, é a garantia de uma equipe comprometida com os interesses da nação e não com partidos políticos, que é o que tem mantido o Brasil na lama nos últimos governos.",05/03/2018,https://twitter.com/jairbolsonaro/status/970808819625484288?s=20&t=4QRZwJytHCi2zw9peYIESw
"Via 
@CarlosBolsonaro
 : Uma boa notícia em prol da preservação da história do Brasil e do importante papel das Forças Armadas na proteção de nossa nação. Parabéns a todos, em especial aos bravos guerreiros do Exército Brasileiro que hoje comemoram seu dia!",19/04/2018,https://twitter.com/jairbolsonaro/status/986993792044683264?s=20&t=4QRZwJytHCi2zw9peYIESw
"Elogio a Roberto Marinho e ""A Nação que se salvou a si mesma.""",23/07/2018,https://twitter.com/jairbolsonaro/status/1021450286177619969?s=20&t=4QRZwJytHCi2zw9peYIESw
"Livre de acordões com corruptos para atender aos interesses da nação e  não de partidos políticos; Contra o aborto; A favor da redução da  maioridade penal; Por fim, um presidente que seja honesto, patriota e tenha Deus no coração. VAMOS JUNTOS MUDAR O BRASIL! 👉👉",16/08/2018,https://twitter.com/jairbolsonaro/status/1030195606222974978?s=20&t=4QRZwJytHCi2zw9peYIESw
"Uma má notícia a quem só restou torcer contra minha saúde e recuperação: Nunca me senti tão feliz e bem! Estamos voltando para, juntos, fazermos do Brasil uma grande nação! 🇧🇷",21/09/2018,https://twitter.com/jairbolsonaro/status/1043159966281023488?s=20&t=4QRZwJytHCi2zw9peYIESw
"Há tempos temos percorrido o Brasil, de Norte a Sul, conhecendo as peculiaridades de cada região. Não nos importamos com nosso país apenas em períodos eleitorais com o oportunismo político habitual. Sempre construímos a confiança no olho a olho! Juntos vamos resgatar nossa nação!",22/09/2018,https://twitter.com/jairbolsonaro/status/1043436822045569025?s=20&t=4QRZwJytHCi2zw9peYIESw
"Antes de qualquer resultado, temos encontrado nomes qualificados para compor nosso time. Na prática, é a garantia de uma equipe comprometida com interesses da nação e não com indicações de lideranças de partidos políticos, o que tem mantido o Brasil na lama nos últimos governos.",24/09/2018,https://twitter.com/jairbolsonaro/status/1044163347720081415?s=20&t=4QRZwJytHCi2zw9peYIESw
"Irmãos do Nordeste e do Brasil, também fomentando a economia com o turismo, combatendo a violência e trazendo para perto de nós, países que somarão conosco! Vamos juntos mudar os rumos de nossa grande nação!",25/10/2018,https://twitter.com/jairbolsonaro/status/1053639035850276864?s=20&t=4QRZwJytHCi2zw9peYIESw
"Países com mais liberdade econômica no mundo possuem taxas baixíssimas de desemprego. Nós seguiremos este rumo. 
Nós criaremos emprego como nunca! O Norte e o Nordeste crescerão! Sul, Sudeste e Centro-Oeste voltarão a crescer! O Brasil será uma grande nação!",25/10/2018,https://twitter.com/jairbolsonaro/status/1055470354569797632?s=20&t=4QRZwJytHCi2zw9peYIESw
NÓS VAMOS FAZER DO BRASIL UMA GRANDE NAÇÃO! Boa noite a todos! 👍🏻,25/10/ 2018,https://twitter.com/jairbolsonaro/status/1055635879237173248?s=20&t=4QRZwJytHCi2zw9peYIESw
"Para voltarmos a crescer como nação precisamos fazer valer nossa soberania e nossas leis. Devemos respeitar o mundo todo, mas também ser respeitados. Seremos um Brasil amigo, mas que tem seus valores e princípios básicos.",28/11/2018,https://twitter.com/jairbolsonaro/status/1067768471965130752?s=20&t=4QRZwJytHCi2zw9peYIESw
"Recebi a ilustre visita do Embaixador de Israel, Yossi Shelley, na companhia do futuro Chanceler, Ernesto Araújo, e do futuro Ministro de Estado Chefe do Gab. de Segurança Institucional, General Heleno. O Brasil tem tudo pra ser uma nação respeitada e admirada no mundo todo. 🇧🇷",28/11/2018,https://twitter.com/jairbolsonaro/status/1067768471965130752?s=20&t=4QRZwJytHCi2zw9peYIESw
"Como sempre tenho dito, encaro esta etapa de minha vida como uma missão de Deus. Faremos o possível para dar à nossa nação um futuro com dias melhores. Brasil acima de tudo; Deus acima de todos! 🇧🇷",10/12/2018,https://twitter.com/jairbolsonaro/status/1072208954913120256?s=20&t=4QRZwJytHCi2zw9peYIESw
"O trabalho de inteligência é dos mais importantes e sensíveis para a segurança da nação. No entanto, por sua natureza discreta, raramente é reconhecido. No que depender deste governo não faltará apoio e valorização para os profissionais da área!",30/12/2018,https://twitter.com/jairbolsonaro/status/1079348551908503552?s=20&t=SSnKyHR3eU0wgtT-pN4gdw
